epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1961.32,0.36163,0.6682,0.9747,0.79572,0.7864,0.86415,0.72536,0.98448,inf,1.22243,0.000194539,0.000194539,0.000194539
44,2007.6,0.36557,0.66147,0.97223,0.80035,0.79376,0.87523,0.71766,1.01416,inf,1.21995,0.000191242,0.000191242,0.000191242
45,2054.17,0.36558,0.65448,0.97167,0.79636,0.7643,0.86085,0.72284,0.97845,inf,1.21641,0.000187945,0.000187945,0.000187945
46,2101.21,0.35107,0.64752,0.97121,0.80251,0.75584,0.84799,0.70702,1.00668,inf,1.21583,0.000184649,0.000184649,0.000184649
47,2148.08,0.34852,0.64376,0.96931,0.77947,0.73692,0.84012,0.70054,1.0138,inf,1.21879,0.000181352,0.000181352,0.000181352
48,2195.17,0.34688,0.63935,0.96932,0.75764,0.73472,0.83631,0.70203,0.9799,inf,1.21086,0.000178055,0.000178055,0.000178055
49,2241.96,0.34561,0.63431,0.96819,0.82313,0.80307,0.8824,0.75949,0.94639,inf,1.2065,0.000174758,0.000174758,0.000174758
50,2289.01,0.34451,0.63337,0.96684,0.8086,0.78345,0.86552,0.7339,0.96356,inf,1.21051,0.000171462,0.000171462,0.000171462
51,2335.6,0.34659,0.63482,0.96524,0.82023,0.77677,0.86916,0.70726,1.02847,inf,1.22152,0.000168165,0.000168165,0.000168165
52,2382.22,0.34399,0.6286,0.96428,0.812,0.79564,0.87698,0.716,1.00512,inf,1.22122,0.000164868,0.000164868,0.000164868
53,2428.84,0.34276,0.61968,0.96314,0.80813,0.79853,0.88048,0.74858,0.94092,inf,1.20703,0.000161572,0.000161572,0.000161572
54,2475.52,0.3427,0.61588,0.96262,0.79685,0.77823,0.86737,0.71799,1.0042,inf,1.21857,0.000158275,0.000158275,0.000158275
55,2522.08,0.33949,0.6111,0.96152,0.78218,0.7563,0.85243,0.69244,1.05212,inf,1.22066,0.000154978,0.000154978,0.000154978
56,2568.62,0.33381,0.60604,0.96102,0.78357,0.75853,0.85086,0.71945,0.98923,inf,1.21111,0.000151682,0.000151682,0.000151682
57,2615.31,0.33027,0.60308,0.96005,0.78527,0.71554,0.84026,0.7283,0.99672,inf,1.21389,0.000148385,0.000148385,0.000148385
58,2662.07,0.32205,0.59645,0.95946,0.81785,0.80163,0.87979,0.73728,1.03015,inf,1.21071,0.000145088,0.000145088,0.000145088
